M_init age core_mass st
39.9732 7.214813959591e+00 9.96034 4
40.0725 7.202348103612e+00 9.97867 4
40.1718 7.213353686526e+00 9.96169 4
40.2711 7.209860661167e+00 9.96898 4
40.4697 7.210457828387e+00 9.96722 4
40.569 7.192122817060e+00 9.99441 4
40.3704 7.195626173096e+00 9.99006 4
40.9661 7.207227566370e+00 9.97238 4
40.6683 7.209447536724e+00 9.96786 4
40.7675 7.200892002940e+00 9.9803 4
40.8668 7.208583836512e+00 9.97077 4
41.1648 7.207090954536e+00 9.97169 4
41.3634 7.206863031759e+00 9.97363 4
41.0655 7.193580061594e+00 9.9925 4
41.2641 7.193833978542e+00 9.99123 4
41.4627 7.202599571723e+00 9.97967 4
41.6613 7.206042721569e+00 9.97352 4
41.562 7.196514521974e+00 9.98832 4
41.7606 7.194438141183e+00 9.9906 4
42.1578 7.205861366169e+00 9.97401 4
42.0585 7.205501550123e+00 9.97508 4
41.8599 7.205631707376e+00 9.97323 4
42.257 7.198864586512e+00 9.9841 4
42.555 7.205223596755e+00 9.97567 4
42.3564 7.205420082027e+00 9.97373 4
41.9592 7.198258601592e+00 9.98638 4
42.7536 7.205707908948e+00 9.97396 4
42.6543 7.204914427670e+00 9.97557 4
42.8529 7.205019565600e+00 9.97456 4
42.9522 7.203914498854e+00 9.97579 4
43.1508 7.203985795575e+00 9.97717 4
42.4557 7.198150621939e+00 9.98435 4
43.2501 7.205579556917e+00 9.97435 4
43.6472 7.205667537342e+00 9.9747 4
43.3494 7.205311466117e+00 9.9742 4
43.4487 7.205260760646e+00 9.97385 4
43.0515 7.205792790688e+00 9.97494 4
43.548 7.205662577933e+00 9.97529 4
43.7465 7.205611584629e+00 9.97433 4
44.0445 7.206116841408e+00 9.9746 4
43.9452 7.205238999882e+00 9.97399 4
44.2431 7.205195260085e+00 9.97503 4
43.8459 7.205725093659e+00 9.97371 4
44.3424 7.205110122877e+00 9.97469 4
44.4417 7.205668735771e+00 9.97341 4
44.541 7.205676253446e+00 9.97542 4
44.6403 7.205638371237e+00 9.97487 4
44.1438 7.205176169352e+00 9.97553 4
44.7396 7.205531635097e+00 9.97455 4
44.8389 7.205302222314e+00 9.97442 4
44.9382 7.205694184069e+00 9.97337 4
45.0374 7.205426759502e+00 9.97578 4
45.1368 7.205414050431e+00 9.9753 4
45.4347 7.205612054904e+00 9.97344 4
45.3354 7.205336978464e+00 9.97444 4
45.2361 7.205459171312e+00 9.97474 4
45.534 7.205533963771e+00 9.97555 4
45.8319 7.205269102356e+00 9.97444 4
45.7326 7.205217178194e+00 9.975 4
46.1298 7.205531150621e+00 9.97502 4
46.0305 7.206074701467e+00 9.97474 4
46.2291 7.205793756813e+00 9.97412 4
46.3284 7.205708575909e+00 9.97375 4
45.9312 7.205025550492e+00 9.97432 4
45.6333 7.205956487716e+00 9.97441 4
46.4276 7.205664585012e+00 9.97333 4
46.5269 7.206115862208e+00 9.97462 4
46.7256 7.205602007627e+00 9.97432 4
46.6262 7.205987631974e+00 9.97427 4
46.8249 7.205198649332e+00 9.97442 4
46.9242 7.205877115510e+00 9.97538 4
47.0235 7.205590551259e+00 9.97527 4
47.1228 7.205751395459e+00 9.97449 4
47.52 7.205317813387e+00 9.9755 4
47.7186 7.205111980932e+00 9.97473 4
47.3214 7.205737976738e+00 9.97348 4
48.1158 7.205665454448e+00 9.97434 4
47.4207 7.205775246945e+00 9.97537 4
47.2221 7.205233505062e+00 9.97474 4
48.0165 7.205438940832e+00 9.97523 4
47.6193 7.205763537949e+00 9.97429 4
47.8178 7.206187882649e+00 9.97508 4
48.2151 7.205132509618e+00 9.9746 4
48.3144 7.205378432508e+00 9.97617 4
47.9171 7.205944587421e+00 9.97504 4
48.4137 7.205451245573e+00 9.97549 4
48.8109 7.205607409182e+00 9.97566 4
48.513 7.205465146212e+00 9.97491 4
48.6123 7.205530806924e+00 9.97426 4
48.7116 7.204883327071e+00 9.97482 4
49.1088 7.205793898061e+00 9.97367 4
49.0095 7.205175479279e+00 9.97514 4
49.4066 7.205256883147e+00 9.97536 4
49.2081 7.205592565485e+00 9.97603 4
49.6053 7.205188284207e+00 9.97433 4
49.7046 7.206190557218e+00 9.97489 4
49.8039 7.205651094475e+00 9.97508 4
49.506 7.205251743557e+00 9.97479 4
49.3073 7.205332954246e+00 9.97583 4
49.9032 7.205079741693e+00 9.97534 4
48.9102 7.205471034016e+00 9.97528 4
50.0025 7.205769303870e+00 9.97374 4
50.2011 7.205714946383e+00 9.97526 4
50.1018 7.206114747895e+00 9.97513 4
50.499 7.205499653578e+00 9.97396 4
50.6975 7.205721861856e+00 9.97488 4
50.3004 7.205730864356e+00 9.97463 4
50.3997 7.205730799714e+00 9.97405 4
51.1941 7.205844401966e+00 9.97443 4
50.5983 7.205485361334e+00 9.97585 4
50.9955 7.205543336040e+00 9.97598 4
51.0948 7.205811677437e+00 9.97495 4
50.8962 7.205436798326e+00 9.97426 4
50.7969 7.205818555918e+00 9.97413 4
51.2934 7.205000384511e+00 9.97509 4
51.3927 7.205582141252e+00 9.97625 4
51.5913 7.205664883273e+00 9.97486 4
51.492 7.205390153661e+00 9.9759 4
51.7899 7.206255553801e+00 9.97539 4
51.6906 7.205837031036e+00 9.974 4
51.8892 7.205579472653e+00 9.97577 4
51.9885 7.205288443108e+00 9.97571 4
52.187 7.205622344826e+00 9.97398 4
52.0877 7.205104168550e+00 9.97536 4
52.3857 7.205317746430e+00 9.97577 4
52.485 7.205592429293e+00 9.97488 4
52.7829 7.205567021182e+00 9.97564 4
52.5843 7.205504201930e+00 9.97439 4
52.2863 7.206109315510e+00 9.97526 4
52.9815 7.205755620797e+00 9.97423 4
52.8822 7.205736846840e+00 9.97473 4
52.6836 7.206206935849e+00 9.97519 4
53.0808 7.206202190847e+00 9.97541 4
53.2794 7.205889124749e+00 9.9747 4
53.1801 7.206001279317e+00 9.9752 4
53.4779 7.205966637832e+00 9.97594 4
53.5772 7.205592875143e+00 9.97582 4
53.6766 7.205642800798e+00 9.97524 4
53.7759 7.205829143915e+00 9.97431 4
53.3787 7.205802745048e+00 9.97419 4
54.0738 7.205563544724e+00 9.9755 4
53.8752 7.205544591774e+00 9.97672 4
54.5703 7.205646589184e+00 9.97482 4
53.9745 7.206004407215e+00 9.97536 4
54.1731 7.205348766655e+00 9.97515 4
54.2724 7.205361315390e+00 9.97465 4
54.6696 7.205487634208e+00 9.97457 4
54.3717 7.205853120442e+00 9.97571 4
55.0667 7.205157902273e+00 9.97513 4
54.471 7.205554984505e+00 9.97563 4
54.8681 7.205743477745e+00 9.97544 4
54.7689 7.205590618881e+00 9.9762 4
54.9674 7.205545633493e+00 9.97522 4
55.1661 7.205795402087e+00 9.97615 4
55.2654 7.205364513955e+00 9.97607 4
55.464 7.205058989876e+00 9.97533 4
55.5633 7.205812658459e+00 9.97617 4
56.0598 7.206240063850e+00 9.97499 4
55.6626 7.205886659688e+00 9.97533 4
55.8612 7.205960412489e+00 9.97418 4
55.7619 7.205597669998e+00 9.97523 4
55.9605 7.206127056995e+00 9.97572 4
55.3647 7.206083436834e+00 9.97448 4
56.1591 7.205305621006e+00 9.97585 4
56.457 7.206085309241e+00 9.9752 4
56.3576 7.205983515803e+00 9.9761 4
56.2584 7.205861221879e+00 9.97434 4
56.5563 7.205381084573e+00 9.97571 4
56.8542 7.206147096664e+00 9.97519 4
56.6556 7.205697116507e+00 9.97471 4
56.7549 7.205892822465e+00 9.97615 4
57.0528 7.205796894054e+00 9.97443 4
57.5493 7.206287849234e+00 9.97536 4
57.1521 7.205767274298e+00 9.97637 4
56.9535 7.205441098935e+00 9.97568 4
57.3507 7.205553467669e+00 9.97534 4
57.45 7.206511163202e+00 9.97582 4
57.2514 7.205384944941e+00 9.97635 4
57.6486 7.205809858662e+00 9.97547 4
57.7478 7.205879801760e+00 9.97479 4
57.9464 7.206122406682e+00 9.97549 4
58.1451 7.205543524782e+00 9.97516 4
58.2444 7.206412524840e+00 9.97552 4
58.443 7.205993845648e+00 9.9749 4
57.8471 7.205892786173e+00 9.97666 4
58.3437 7.205988937613e+00 9.97552 4
58.0458 7.206070056694e+00 9.97497 4
58.5423 7.206057363964e+00 9.97667 4
58.6416 7.205661449716e+00 9.9764 4
58.7409 7.205536323954e+00 9.97595 4
58.9395 7.205669145935e+00 9.97698 4
58.8402 7.205922349536e+00 9.97476 4
59.2373 7.206455031032e+00 9.9761 4
59.3367 7.205809015838e+00 9.97639 4
59.138 7.206104280867e+00 9.97479 4
59.0388 7.205927960496e+00 9.97569 4
59.436 7.206173741638e+00 9.97495 4
59.7339 7.205971870338e+00 9.9757 4
59.6346 7.205849906359e+00 9.97658 4
59.5353 7.205881574866e+00 9.97475 4
59.9325 7.206071631252e+00 9.97646 4
60.2304 7.205825386146e+00 9.97721 4
59.8332 7.205688659355e+00 9.97546 4
60.1311 7.205535142915e+00 9.97585 4
60.0318 7.205654843208e+00 9.97636 4
60.3297 7.206197237815e+00 9.97592 4
60.429 7.205592416429e+00 9.97611 4
60.5282 7.206579828365e+00 9.97618 4
60.6275 7.205900770730e+00 9.97645 4
60.7268 7.205952953579e+00 9.97564 4
60.8262 7.205880446035e+00 9.97505 4
61.0248 7.206200146583e+00 9.97529 4
60.9255 7.205774824904e+00 9.97693 4
61.2234 7.206182662689e+00 9.9763 4
61.3227 7.205814685116e+00 9.97608 4
61.422 7.205960666895e+00 9.97513 4
61.5213 7.206134450185e+00 9.97657 4
61.1241 7.205334523404e+00 9.97587 4
61.8192 7.206036448431e+00 9.97686 4
61.7199 7.205355960038e+00 9.97618 4
61.9184 7.205743337962e+00 9.97622 4
61.6206 7.205968339915e+00 9.97602 4
62.0177 7.205608901733e+00 9.97565 4
62.1171 7.206374058675e+00 9.97616 4
62.3157 7.206050116109e+00 9.97504 4
62.2164 7.206340079148e+00 9.97539 4
62.415 7.205678406920e+00 9.97724 4
62.5143 7.206181811076e+00 9.97565 4
62.6136 7.206157971167e+00 9.97736 4
62.9115 7.206394476689e+00 9.97695 4
62.8122 7.205822837765e+00 9.97615 4
63.0108 7.206123103706e+00 9.97648 4
62.7129 7.205940358630e+00 9.97683 4
63.6066 7.205704886791e+00 9.97679 4
63.2094 7.206447458923e+00 9.97646 4
63.1101 7.205978267395e+00 9.97583 4
63.4079 7.206180027198e+00 9.97511 4
63.3087 7.206252495808e+00 9.97586 4
63.7059 7.206341973581e+00 9.97714 4
63.9045 7.206280361260e+00 9.97539 4
63.5072 7.206406180724e+00 9.97634 4
